timestamp,raw_payload,data_type,parsed_json,rssi,snr,is_anomaly,anomaly_reason
2026-08-18 20:15:04,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-37.0,9.25,0,Normal
2026-08-18 20:15:04,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-39.0,9.25,0,Normal
2026-08-18 20:15:04,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-41.0,9.0,0,Normal
2026-08-18 20:15:04,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-41.0,9.0,0,Normal
2026-08-18 20:15:04,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-41.0,8.75,0,Normal
2026-08-18 20:15:15,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-38.0,9.5,0,Normal
2026-08-18 20:15:18,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-38.0,9.75,0,Normal
2026-08-18 20:15:19,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-38.0,9.25,0,Normal
2026-08-18 20:15:21,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-38.0,9.5,0,Normal
2026-08-18 20:15:22,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-38.0,9.75,0,Normal
2026-08-18 20:15:24,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-37.0,9.0,0,Normal
2026-08-18 20:15:25,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-37.0,9.25,0,Normal
2026-08-18 20:15:27,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-37.0,9.0,0,Normal
2026-08-18 20:15:28,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-37.0,9.5,0,Normal
2026-08-18 20:16:50,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-37.0,9.75,0,Normal
2026-08-18 20:16:50,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-37.0,9.25,0,Normal
2026-08-18 20:16:50,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-37.0,9.5,0,Normal
2026-08-18 20:16:50,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-37.0,9.5,0,Normal
2026-08-18 20:16:50,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-43.0,9.25,0,Normal
2026-08-18 20:16:50,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-37.0,12.75,0,Normal
2026-08-18 20:16:50,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-37.0,9.5,0,Normal
2026-08-18 20:16:50,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-37.0,9.5,0,Normal
2026-08-18 20:16:50,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-38.0,10.0,0,Normal
2026-08-18 20:16:50,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-37.0,9.5,0,Normal
2026-08-18 20:16:50,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-37.0,9.25,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-37.0,9.25,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-37.0,9.5,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-38.0,9.25,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-38.0,9.75,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-37.0,9.5,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-37.0,9.25,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-37.0,9.25,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-43.0,9.0,1,Isolation Forest ML Anomaly
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-41.0,9.5,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-41.0,9.25,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-41.0,8.75,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-41.0,9.0,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-41.0,9.0,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-41.0,9.0,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-41.0,8.75,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-41.0,9.25,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-41.0,9.0,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-41.0,9.5,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-41.0,8.75,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-40.0,9.0,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-40.0,9.75,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-40.0,9.0,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-41.0,9.25,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-41.0,9.0,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-41.0,9.5,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-41.0,9.25,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-41.0,9.0,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-41.0,9.25,0,Normal
2026-08-18 20:16:51,H:79% T:30C,Temp & Humidity,"{""temperature"": 30.0, ""humidity"": 79.0}",-38.0,9.25,0,Normal
